Point_Count,System_Time_Unix
19968,1765435901.263670000
20064,1765435901.386530000
20064,1765435901.597720000
19968,1765435901.722970000
19968,1765435901.945500000
20064,1765435902.089030000
19968,1765435902.307430000
20064,1765435902.433610000
19968,1765435902.576150000
19968,1765435902.696820000
19968,1765435902.913950000
19968,1765435903.199090000
19968,1765435903.333970000
19968,1765435903.531220000
20064,1765435903.651190000
19968,1765435903.858450000
19968,1765435904.777760000
20064,1765435904.798620000
19968,1765435904.809840000
19968,1765435905.356950000
19968,1765435905.389830000
20064,1765435905.399410000
19968,1765435905.409000000
19968,1765435905.462240000
20064,1765435905.818130000
19968,1765435905.969100000
20064,1765435906.123600000
19968,1765435906.235640000
19968,1765435907.154130000
20064,1765435907.175900000
20064,1765435907.185980000
20064,1765435907.197760000
19872,1765435907.208920000
19968,1765435907.219680000
20064,1765435907.620790000
19968,1765435908.074470000
19968,1765435908.577430000
19968,1765435908.663500000
19872,1765435908.682610000
19968,1765435908.692250000
19968,1765435909.411860000
19968,1765435910.389800000
19968,1765435910.409340000
19968,1765435910.419950000
20064,1765435910.433100000
19968,1765435910.442450000
19968,1765435910.692210000
20064,1765435910.704360000
20064,1765435910.717340000
19872,1765435911.959150000
19968,1765435911.982040000
20064,1765435911.992240000
19968,1765435912.028570000
20064,1765435912.047850000
20064,1765435912.058970000
20064,1765435912.071130000
19968,1765435912.248110000
20064,1765435912.826420000
20064,1765435912.838440000
20544,1765435912.856130000
19968,1765435913.241600000
19968,1765435913.251380000
19968,1765435913.373130000
20160,1765435913.560490000
20064,1765435913.698890000
19872,1765435914.386510000
19968,1765435914.500270000
20064,1765435914.516490000
19968,1765435914.530270000
19872,1765435914.983740000
19872,1765435914.995440000
19968,1765435915.005520000
19968,1765435915.097810000
20064,1765435915.318870000
19968,1765435915.754700000
19968,1765435915.776900000
20064,1765435915.881830000
19872,1765435916.024240000
20160,1765435916.240530000
19968,1765435916.344030000
20064,1765435916.567300000
19968,1765435916.698640000
20064,1765435916.820380000
19968,1765435917.055550000
19872,1765435917.173320000
20064,1765435917.296890000
19968,1765435917.431450000
20064,1765435918.451050000
19872,1765435918.473340000
20064,1765435918.484330000
20064,1765435918.496400000
19968,1765435918.519460000
19872,1765435918.969400000
19968,1765435918.984550000
19968,1765435919.001450000
19968,1765435919.108890000
19968,1765435919.323080000
20064,1765435919.514350000
19968,1765435919.609210000
20064,1765435919.815970000
19968,1765435920.023220000
19968,1765435920.185120000
19968,1765435920.753990000
19968,1765435920.840170000
19968,1765435920.858420000
19968,1765435920.966820000
19968,1765435921.299260000
20064,1765435921.323060000
19968,1765435921.434010000
19968,1765435921.558960000
20064,1765435921.773210000
19872,1765435921.981770000
19968,1765435922.123810000
19968,1765435922.538980000
20064,1765435922.548660000
20064,1765435922.692570000
19968,1765435922.954830000
20064,1765435923.088460000
19968,1765435923.258970000
20064,1765435923.428080000
19968,1765435923.667810000
20064,1765435923.786400000
20064,1765435923.999300000
19968,1765435925.181850000
19968,1765435925.195630000
20064,1765435925.208930000
19872,1765435925.225880000
19872,1765435925.351810000
19968,1765435925.364310000
20064,1765435925.374250000
20064,1765435925.587580000
19968,1765435925.737850000
20064,1765435925.948240000
20064,1765435926.070790000
19872,1765435926.276510000
19968,1765435926.457840000
19968,1765435926.574850000
19968,1765435926.686070000
19968,1765435926.891360000
19968,1765435927.025660000
19968,1765435927.253390000
20064,1765435927.362800000
20064,1765435927.573240000
20064,1765435927.721030000
20064,1765435927.921830000
19872,1765435928.057630000
20064,1765435928.184210000
19872,1765435929.068760000
20064,1765435929.092000000
19968,1765435929.105570000
20064,1765435929.117000000
19968,1765435929.133180000
20064,1765435929.319890000
19968,1765435929.433740000
19872,1765435929.559900000
19872,1765435930.143010000
20064,1765435930.160230000
19968,1765435930.182990000
19968,1765435930.260090000
19968,1765435930.911860000
20064,1765435930.927540000
19968,1765435930.943010000
20064,1765435931.003770000
19968,1765435931.149620000
20160,1765435931.449130000
19968,1765435931.590730000
19968,1765435931.785790000
19968,1765435931.906320000
20064,1765435932.040970000
20064,1765435932.253740000
19968,1765435932.418560000
19968,1765435932.555080000
19968,1765435932.684240000
19968,1765435933.247470000
20064,1765435933.258090000
19968,1765435933.273020000
19872,1765435933.451360000
19968,1765435933.582440000
19968,1765435933.808280000
20064,1765435933.922050000
19968,1765435934.127170000
19968,1765435934.268260000
19968,1765435934.463440000
20064,1765435934.588110000
20064,1765435934.740250000
19968,1765435934.877950000
20064,1765435935.001300000
19872,1765435935.557150000
20064,1765435935.571250000
19968,1765435935.597130000
19968,1765435935.765590000
19968,1765435935.893670000
20064,1765435936.114350000
19968,1765435936.398730000
20064,1765435936.521890000
20064,1765435936.737610000
19968,1765435936.898690000
20064,1765435937.039150000
19968,1765435937.242540000
20064,1765435937.366860000
19872,1765435937.599030000
19968,1765435937.721170000
19872,1765435938.172870000
20064,1765435938.538220000
20160,1765435938.555900000
20064,1765435938.566670000
19968,1765435938.734840000
19968,1765435938.888850000
20064,1765435939.021070000
19968,1765435939.147410000
19968,1765435939.364480000
19968,1765435939.566090000
19872,1765435940.301780000
20064,1765435940.312410000
19968,1765435940.693900000
19968,1765435940.787840000
20064,1765435940.798470000
20064,1765435940.808180000
19872,1765435941.018470000
19968,1765435941.448030000
20256,1765435941.465000000
19968,1765435941.581940000
20064,1765435941.739960000
20064,1765435941.909410000
19968,1765435942.469160000
20064,1765435942.480790000
20064,1765435942.506190000
19872,1765435942.691120000
19776,1765435943.763090000
20064,1765435943.775290000
19968,1765435943.787050000
19968,1765435943.811070000
19968,1765435944.743320000
19968,1765435944.836550000
20064,1765435944.847980000
19968,1765435944.869240000
20640,1765435944.897460000
19968,1765435944.921510000
19968,1765435945.626720000
20064,1765435945.646260000
19968,1765435945.657810000
19968,1765435945.922910000
19872,1765435946.054120000
20064,1765435946.248610000
20064,1765435946.384010000
19968,1765435946.604680000
19968,1765435947.518460000
19968,1765435947.531820000
20160,1765435947.543460000
19968,1765435948.072030000
20064,1765435948.153860000
20064,1765435948.164340000
19968,1765435948.566190000
19968,1765435948.777090000
20064,1765435948.790970000
19968,1765435948.812080000
19968,1765435948.891380000
20064,1765435949.824680000
19968,1765435949.840950000
19968,1765435949.864170000
19968,1765435949.878100000
20064,1765435949.995560000
19968,1765435950.542970000
19872,1765435950.954870000
20064,1765435950.972840000
20064,1765435950.994600000
19968,1765435951.006660000
19968,1765435951.251140000
19968,1765435951.430420000
20064,1765435951.592220000
19968,1765435951.838390000
19968,1765435951.972950000
19968,1765435952.099220000
19872,1765435952.322210000
20064,1765435952.452460000
