Point_Count,System_Time_Unix
19968,1765435846.036830000
19968,1765435846.499790000
20064,1765435846.504330000
20064,1765435846.631270000
19968,1765435846.881330000
19968,1765435847.271080000
20064,1765435847.288870000
19968,1765435847.386730000
20064,1765435847.612590000
19968,1765435847.778190000
19968,1765435848.255380000
19968,1765435848.603700000
20064,1765435848.684300000
19968,1765435848.688830000
19968,1765435849.094060000
19968,1765435849.301650000
19968,1765435849.317830000
19968,1765435849.323010000
19968,1765435849.430660000
19968,1765435849.624120000
19872,1765435850.042950000
19968,1765435850.049080000
19968,1765435850.160470000
20064,1765435850.287220000
19872,1765435850.494690000
19968,1765435850.626920000
20064,1765435850.749270000
19968,1765435850.868430000
19968,1765435851.079590000
20064,1765435851.198550000
19968,1765435851.408690000
20064,1765435851.610180000
19968,1765435851.842900000
20064,1765435851.960820000
20064,1765435852.179050000
19968,1765435852.611860000
19968,1765435852.617930000
19968,1765435852.738180000
19968,1765435853.412640000
19968,1765435853.419740000
19968,1765435853.439410000
20064,1765435853.445990000
19968,1765435853.630860000
19968,1765435853.756900000
20064,1765435853.910010000
20064,1765435854.134010000
19968,1765435854.261640000
20064,1765435854.382990000
19968,1765435854.512440000
19968,1765435854.644320000
19968,1765435854.859820000
19968,1765435855.159850000
20064,1765435855.288880000
19968,1765435855.527900000
19968,1765435855.714050000
20064,1765435855.837610000
19968,1765435856.037430000
20064,1765435856.194030000
19968,1765435856.310450000
20064,1765435856.515460000
19968,1765435856.639190000
19968,1765435856.840360000
20064,1765435856.958250000
19968,1765435857.166090000
19872,1765435857.308690000
20064,1765435857.442860000
20064,1765435857.648740000
20064,1765435857.826390000
19968,1765435858.552200000
19968,1765435858.578750000
20064,1765435858.597470000
19968,1765435858.604840000
19968,1765435858.851920000
19968,1765435859.313920000
19968,1765435859.673250000
20064,1765435859.679770000
19968,1765435859.685390000
19968,1765435859.879670000
19968,1765435860.040230000
19968,1765435860.839860000
20064,1765435860.845040000
19968,1765435861.017160000
19968,1765435861.021770000
20064,1765435861.121620000
20064,1765435861.254990000
20064,1765435861.497500000
20544,1765435861.625990000
19968,1765435861.830220000
20064,1765435861.947560000
19968,1765435862.149660000
19968,1765435862.276910000
19968,1765435862.662560000
20160,1765435862.674090000
20064,1765435862.780170000
20064,1765435862.912190000
19968,1765435863.110920000
19968,1765435863.240770000
20064,1765435863.361640000
20064,1765435863.484950000
19968,1765435864.405410000
19968,1765435864.419940000
19968,1765435864.425500000
20064,1765435864.431040000
19968,1765435864.436460000
20064,1765435864.693040000
19872,1765435864.823490000
19968,1765435864.949440000
19968,1765435865.362300000
19968,1765435865.370570000
19968,1765435865.510890000
19968,1765435865.761340000
19968,1765435865.954160000
20064,1765435866.076390000
19968,1765435866.296150000
20064,1765435866.436200000
19968,1765435866.636800000
20064,1765435866.751970000
19968,1765435866.866110000
19968,1765435867.066770000
19680,1765435867.600140000
19968,1765435867.605730000
20064,1765435867.610320000
19968,1765435867.746010000
19968,1765435867.884050000
20064,1765435868.004510000
19968,1765435868.206270000
19968,1765435868.323990000
